;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
1742;ARAUJO PRD, 1992, ECON GEOL BULL SOC ECON GEOL;1992;PHOSPHORITES OF ROCINHA-MINE PATOS-DE-MINAS (MINAS-GERAIS, BRAZIL) - GENESIS AND EVOLUTION OF A MIDDLE PROTEROZOIC DEPOSIT TECTONIZED BY THE BRASILIANO OROGENY;NA;IN CENTRAL BRAZIL (THE STATES OF MINAS GERAIS AND GOIAS) THE BRASILIANO OROGENY (ALMOST-EQUAL-TO 600 MA) DELINEATES THE SAO FRANCISCO CRATON AND, TO THE WEST, THE BRASILIA FOLD BELT. ROCKS OF THE FOLD BELT ARE THRUST TO THE EAST AND DISPLAY INCREASING DEFORMATION AND METAMORPHISM WESTWARD. ALMOST ALL THE PHOSPHATE DEPOSITS ARE FOUND IN THE BRASILIA FOLD BELT, EITHER ALONG ITS BOUNDARY WITH THE CRATON OR IN EXTERNAL STRUCTURAL UNITS SHOWING POLYCYCLIC DEFORMATION AND GREEN-SCHIST METAMORPHISM. THEY OCCUR IN THE METASEDIMENTARY ROCKS OF THE MIDDLE PROTEROZOIC PARANOA GROUP AND IN THE UPPER PROTEROZOIC SAO FRANCISCO GROUP AND ITS EQUIVALENTS. MIDDLE PROTEROZOIC PHOSPHORITES ARE ECONOMICALLY THE MORE IMPORTANT, MOST ARE SPATIALLY AND TEMPORALLY ASSOCIATED WITH A STROMATOLITE REEF BARRIER. HOWEVER, THE ROCINHA-PATOS DE MINAS DEPOSIT, THE ONLY PRESENTLY MINED, IS LOCATED SOUTH OF THE REEF BARRIER. IT HAS DEVELOPED ON A SHALLOW TO DEEP RAMP BETWEEN A WIDE INTERNAL BASIN WITH REDUCED OXYGEN CONDITIONS AND LIMITED DETRITUS AND A MORE OXYGENATED MARINE ENVIRONMENT TO THE WEST. IN THE ROCINHA MINE, PHOSPHATE FORMS GRAINS, ANGULAR FRAGMENTS, LENSES, OR CENTIMETER-THICK BEDS IN SCHISTS AND CARBONATE OR GLAUCONITIC SCHISTS. THE P2O5 CONTENT OF PHOSPHATIC ROCKS RANGES BETWEEN 10 AND 15 PERCENT. ANNUAL PRODUCTION IS AROUND 200,000 TONS OF ORE CONTAINING 24 PERCENT P2O5. THE MINE AREA COMPRISES FOUR TECTONIC SLICES MADE UP OF SCHISTS, QUARTZOSCHISTS, AND PHOSPHATIC SCHISTS, SEPARATED BY SUBHORIZONTAL SHEAR PLANES. THESE ARE DEFINED BY TECTONIC BRECCIAS IN WHICH SECONDARY APATITE HAS RECRYSTALLIZED. THE MINE IS EXPOSED IN A 50 - TO 75-M PHOSPHATIC SEQUENCE WHICH IS REPEATED IN A LOWER SLICE ABOUT 100 M BELOW MINE LEVEL. THE PHOSPHATIC ORE IS A HOMOGENEOUS CRYPTO- TO MICROCRYSTALLINE APATITE IN FAIRLY CONTINUOUS CENTIMETER-THICK BEDS WHICH WERE STRETCHED, FRAGMENTED, AND BOUDINAGED DURING BRASILIANO ISOCLINAL FOLDING AND SUBSEQUENT SUBHORIZONTAL SHEARING. X-RAY DIFFRACTION, IR SPECTROMETRY, AND CHEMICAL ANALYSIS INDICATE THAT THE METASEDIMENTARY PHOSPHATE IS A WEAKLY CARBONATED FLUORAPATITE WITH LOW F AND CO2 CONTENTS. THE INFLUENCE OF THE BRASILIANO OROGENESIS IS MARKED BY PARTIAL SUBSTITUTION OF F BY OH. SECONDARY PRISMATIC APATITE, KAOLINITE COATINGS, AND WAVELLITE SHEAFLIKE STRUCTURES ARE PRODUCTS OF WEATHERING AND ARE FOUND IN MINE SECTIONS AND BORE HOLES TO A DEPTH OF 10 TO 15 M. SECONDARY APATITES ARE ENRICHED IN CO2 COMPARED TO PRIMARY METASEDIMENTARY APATITES.;ARAUJO PRD, 1992, ECON GEOL BULL SOC ECON GEOL;NA;;;;;;;;;;;;;;;;;;
1746;KRAJEWSKI JP, 2005, BULL MAR SCI;2005;SPAWNING OUT OF AGGREGATIONS: RECORD OF A SINGLE SPAWNING DOG SNAPPER PAIR AT FERNANDO DE NORONHA ARCHIPELAGO, EQUATORIAL WESTERN ATLANTIC;NA;NA;KRAJEWSKI JP, 2005, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1748;BURTON ML, 2005, FISH BULL;2005;PRELIMINARY EVIDENCE OF INCREASED SPAWNING AGGREGATIONS OF MUTTON SNAPPER (LUTJANUS ANALIS) AT RILEY'S HUMP TWO YEARS AFTER ESTABLISHMENT OF THE TORTUGAS SOUTH ECOLOGICAL RESERVE;NA;NA;BURTON ML, 2005, FISH BULL;NA;;;;;;;;;;;;;;;;;;
1751;FREDOU T, 2004, CYBIUM;2004;THE FISHING ACTIVITY ON CORAL REEFS AND ADJACENT ECOSYSTEMS: A CASE STUDY OF THE NORTHEAST OF BRAZIL;LUTJANIDAE;;;;;;;;;;;;;;;;;;;;;
1753;COWEN RK, 2003, INTERHEMISPHERIC WATER EXCHANGE IN THE ATLANTIC OCEAN;2003;IMPACT OF NORTH BRAZIL CURRENT RINGS ON LOCAL CIRCULATION AND CORAL REEF FISH RECRUITMENT TO BARBADOS, WEST INDIES;NA;NA;COWEN RK, 2003, INTERHEMISPHERIC WATER EXCHANGE IN THE ATLANTIC OCEAN;NA;;;;;;;;;;;;;;;;;;
1755;KELMO F, 2001, BULL MAR SCI;2001;CNIDARIAN COMMUNITY STRUCTURE OF COASTAL REEFS FROM NORTHERN BAHIA, BRAZIL;NA;NA;KELMO F, 2001, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1757;SIUNG-CHANG AM, 2001, BULL MAR SCI;2001;POSSIBLE LINK BETWEEN REEF-FISH MORTALITIES IN THE SOUTHEAST CARIBBEAN AND SOUTH AMERICAN RIVER DISCHARGE (JULY-OCTOBER 1999);NA;NA;SIUNG-CHANG AM, 2001, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1759;WEBER E, 2001, NOUV REV SEIZ SIECLE;2001;EL `GRAN BARROCO DEL PERU' - JADE-73083-2 (EXAUDI, PEREZ);NA;NA;WEBER E, 2001, NOUV REV SEIZ SIECLE;NA;;;;;;;;;;;;;;;;;;
1762;SAZIMA I, 1998, BULL MAR SCI;1998;THE WRASSE HALICHOERES CYANOCEPHALUS (LABRIDAE) AS A SPECIALIZED CLEANER FISH;NA;NA;SAZIMA I, 1998, BULL MAR SCI;NA;;;;;;;;;;;;;;;;;;
1764;NUNES JMC, 1997, PHYCOLOGIA;1997;MORPHOLOGICAL AND TAXONOMICAL STUDIES OF THE LAURENCIA (CERAMIALES, RHODOPHYTA) SPECIES FROM BAHIA STATE, BRAZIL;NA;NA;NUNES JMC, 1997, PHYCOLOGIA;NA;;;;;;;;;;;;;;;;;;
1767;ADAMO P, 1993, LICHENOLOGIST;1993;THE WEATHERING OF MAFIC ROCKS BY LICHENS;NA;NA;ADAMO P, 1993, LICHENOLOGIST;NA;;;;;;;;;;;;;;;;;;
